#fingerprint	count
1467677996	8
-480263886	11
1189260217	10
-883963110	8
-1921291017	15
-1871302939	9
-570100453	136
836849056	7
708086577	6
-1004907500	210
-1394413490	78
-1237048893	12
-1896384291	8
169406228	9
461195701	37
450024236	13
-897577071	44
-2136180019	110
2091655399	43
-1861967950	65
224590937	331
1219182902	106
455606412	24
686761462	6
334954897	9
-2081042875	11
-203364052	11
-518173289	15
869901029	370
1821780122	10
2038933013	45
-319589418	176
-243204895	8
1560544360	48
1298257990	9
12105548	6
-1923174651	24
-1530062184	28
-756603644	10
2088309737	9
982744784	8
-1110315078	10
-1805494368	100
1897845829	19
-1912233601	6
1171167231	8
511099228	9
1706640103	32
697438500	82
523195987	174
1905557614	41
-1279935357	6
-1419958355	349
1100270446	32
-1408456198	107
770934707	2303
1116483568	16
-556999779	9
1587065560	9
1533107960	180
-457999220	11
-1240545196	8
497160382	163
-799282542	591
143260453	8
-1149283092	7
-680699645	7
-1567044270	96
-1711995147	12
-1714627835	27
1814365803	35
-2054050065	106
-649383150	10
-1862986008	45
794882024	6
-1326904548	9
-16716189	296
-1642763912	94
-1092387550	20
-1870616667	8
-257353432	8
-810243851	59
-1888975204	28
1871372824	6
-1496028180	222794
890487455	8
-2084176126	10
-987244755	7
-700480350	34
709532817	6
2087432705	15
-2061038722	10
32845197	7
2111168038	15
-1740086950	14
1473369126	6
-671729330	45
-138774240	12
-534420381	6
-318875646	72
-882685791	11
-1468926839	14
621426871	7
1696828777	4589
-1899987908	13
902896140	17
410806682	53
1828959017	7
-702881321	11
1667832376	21
-210451606	6
650242822	52
35394981	8
-57207354	7
-1163050941	22
-173151000	24
566384145	9
706515017	6
1247325883	15
68278168	9
-990383567	12
-534997699	13
1982592422	97
213579233	11
-669278300	6
-868717651	7
1241781517	9
-727290647	714
-978902078	6
673716680	9
-150580588	28
1258963845	44
-1916257702	38
-381159260	69
-1029137309	65
-1939776935	6
1804401866	9
-741945670	8
1905573492	37
-1198087211	405
1572892250	7
-462865784	2199
-1094170353	7
-47151175	132
891047327	131
1497254955	1316
-1834614266	91
-980065637	6
-1632399889	9
-2043642729	16
-1550222282	7
1395095050	8
1384412552	8
1368803353	10
-760042917	35
1658032647	13
1107595865	10
454247029	40
67953822	11
31008935	16
155455519	10
588107118	8
-712036529	183
1735968290	15
438468182	13
-1283793091	16
-1392426795	58
1514520804	8
1813527886	12
290977272	35
-2088344450	6
-1963614227	16
724360281	11
-289052607	66
-1177421175	8
601872814	11
-1761286768	11
-2113644880	6
1457558092	15
653317785	182
-903957892	87
-731996292	482
-2072012363	9
-1654783803	11
1042527536	135
-1266733166	8
-179775067	6
445036709	50
557370350	38
-1422912219	11
-976441044	7
1064397894	13
-2092917595	33
-1013516904	26
-440892749	18
1737119503	8
770586892	6
-1531442729	7
-587275262	30
-769437268	44
-1258748626	10
1579213973	70
1536945657	9
-627806194	8
-862325738	25
-760377742	133
188724265	12
-1896700533	10
132508719	12
424876157	17
1188867408	305
-1518855723	9
1710403704	58
1175016596	31
92773450	10
-1728822473	10
24539731	6
1052577317	21
2020097789	9
1820490577	15
177284115	16
-1714540804	7
224527903	12
-238824141	6
1931931248	9
-249602531	7
-1627199345	26
-1530055078	6
-1751071376	699
822028275	43
-1951723384	189
1965708701	94
1758267748	9
-1248852559	74
-947236518	12
-1965036888	35
2030698703	10
-1199468282	9
-688574346	11
337949532	9
126447539	83
606729782	20
-1960810693	1119
-974979395	11
-926200113	145
-1384228458	21
994309295	280
-183145607	7
-2030589961	8
-1543622151	6
-886377567	8
790441209	41
165721737	95
1722767346	18
-1814291750	13
-1509815092	9
-522528963	158
-1014241158	9
2068196289	13
202242162	26
59358432	25
841720176	162
2137770892	6
-967506035	248
-360271190	259
-1194977784	169
-1347935483	7
1834846308	15
882328607	19
-389796628	7
-1423775642	9
-1491267570	232
-562984778	42
-1916598160	11
-1145213171	6
-1705605272	16
1229052389	10
1824733732	9
1575505787	6
-589181529	1754
-74211981	6
1296823199	9
1647179129	6
-1517623538	31
-355875616	6
1534813036	15
-1192627471	25
-508580364	8
-1081691764	15
259039810	28
1247996603	36
-397078327	8
-746711401	8
-1426140014	7
-811928396	17
509484747	10
-256656018	9
295730389	9
-1077855040	5517
-1976834104	123
-1495888317	7
1888143038	19
-598802453	9
-766090944	14
-1170544351	16
997091393	14
-149405730	9
-1543055110	11
-236010627	21
1996997647	22
-590305611	22
845739929	8
-1914588622	18
-603941353	6
1667819402	33
-410511189	143
24915241	73
-421105354	7
670216869	6
-411524870	30
12448222	8
2139707711	6
-2124666501	15
-354434103	11
2048502224	1979
-1007290557	15
528180276	7
-457291295	12
-2053273835	487
-624261908	14
1207830179	9
-852168015	15
-194071869	10
255345036	117
1253453022	10
-1304782988	7
963262944	8
2011214123	22
-1382212016	6
-1298506438	19
1928516162	19
-440461439	11
-772084898	12
1748241452	8
2035520686	476
-959701026	46
427247716	6
-1449029765	12
-1058281198	16
-1238098959	7
-1598105079	15
715780763	7
1833239678	17
-1970306404	13
-1400760445	11
-197510339	8
593729993	11
1138547929	6
9559652	107
-19560469	155
-1956031396	36
-116371593	10
-1390102915	32
-1165035421	9
-258535658	6
-2025560960	8
1738886565	8
-936634034	9
-259999925	29
1542494302	10
-1293256915	10
-1145251928	9
125968159	14
1787805086	128
-2056650580	11
1850740513	95
-995295983	13
469052453	209
-984574309	8
-582064695	9
1003458071	48
-786857462	11
102906168	12
-1939912374	12
-1670119734	8
1743703806	6
-1561412887	15
-926038536	11
1277345788	11
-2029495009	6
-2061739728	6
-1292747288	32
-1028279106	91
301754088	25
-447622375	8
761774361	104
1133358882	8
1578118743	9
683699007	7
94617364	203
-1708864264	7
381864201	11
2056551562	138
942090155	46
-1575966901	8
-8808790	243
-1287006251	8
-1908447016	149
1417531389	9
226564113	31
-1857945393	10
-1482135060	43
529231105	584
-235577163	11
1048325499	9
-1416308016	7
705908030	9
-1518090524	9
-679082533	27
420943759	26
-1505695673	7
1660502396	120
-1655517680	47
1250320261	11
-666971137	43
778100533	92
-205445889	13
1614353385	6
1391887928	8
1150082807	8
1361164612	10
969752670	55
2068286970	28
583575879	8
-552232444	335
-130933326	141
-728320692	10
1276117982	11
1141224059	109
1381121462	53
-1026843841	7
111631069	48
1010417358	7
1648295718	7
2018377003	8
584139024	11
2050203621	16
1723653060	13
-354506405	118
-1164313471	34
654176642	25
-1195298868	380
494829648	10
-1060185631	8
-1734388321	63
1654663586	10
-1330366642	15
643855778	14
-913892558	17
774515436	7
1938054423	6
-62530390	8
-369507115	43
-177248153	85
-1617667140	6
943374467	41
1782874642	6
1013041128	8
-271625847	74
-199586787	6
1342591403	8
1535464749	12
-1181031507	6
-361323724	44
151929181	9
615927066	19
-1761805326	10
-1957369118	27
1707311745	10
-938679864	7
-1129454566	61
-667168266	6
118158535	7
-2099142061	133
-1233036149	9
-1921502784	8
1515323652	10
-1786442358	62
737959971	7
1506580163	8
-1655412979	42
1698549203	13
248074430	14
1558040413	9
-364103471	12
-1257991267	27
395622794	53
1867688811	9
665548034	6
2078128831	7
2041974065	6
-1748084626	36
-942829690	23
1638420772	20
220438606	115
408787204	31
-689599703	223
1381416336	29
440959186	12
12751727	9
-1700606890	20
1112360978	18
-177354700	7
-160455876	42
1186987461	9
-1037185313	8
-1671421199	11
-246574950	13
36809789	11
1706819628	8
1445448916	65
399795267	10
1245692619	8
-1468986749	10
-895989078	12
1456312820	7
1673709661	9
1647773171	7
1961815036	7
1949378362	16
-731506307	50
-2085554249	19
348305767	6
1565837243	11
129070969	12
473530527	12
699569728	7
1324290415	100
248047227	60
1671409417	8
561639281	7
-1776276634	49
-1411568313	246
1500659618	12
844308082	6
825707983	53
-2138340384	7
-310069398	65
-559123031	43
1349504300	17
-1062678179	266
442634141	587
-745360751	77
-1683007751	6
1979718107	11
-2033347093	1311
-305131661	1945
-1966146870	264
-1797978780	9
-201592663	11
2140152290	26
-1968820021	9
-330241833	1025
-925757564	25
-2098742615	11
-742545772	11
1244762996	11
911577498	49
-395453924	945
1908707361	17
747980221	15
-1415085840	12
-337639968	11
1965148032	11
-1716153594	66
1741308762	13
1094027944	162
-183321108	80
-1175504549	102
-839813434	7
1755365056	56
-1313111482	25
532721390	11
220109126	214
-1215628247	9
-64462636	15
-297573911	6
1365503330	18
-1225891481	8
970624562	35
234087110	183
606074658	201
-985455596	6
1385820710	14
-965268544	224
-1023428956	26
141250874	11
1929293093	17
-1012330396	6
-1774209153	11
1573393919	186
2087253101	66
157208841	91
-439039245	7
-308195400	12
2001029479	16
-97562313	6
504955995	256
838435550	13
-206046826	108
132777274	56
-3236382	17
2127377769	66
-506314968	14
1466521447	8
-971371400	7
-1212066171	2879
1104622612	7
1301846013	14
924697512	9
-1066630241	15
1506017272	11
-168959484	14
824005685	137
2146606761	9
-884269780	8
-689110032	9
1764227290	6
-1608352647	61
821965132	2832
291742707	7
662098114	10
-806874843	10
-1943803204	38
-1679965498	11
1390105849	8
-2023530192	75
-1362360420	9
-966503365	8
-169204652	149
1880959403	23
167229887	8
-517371818	9
-966673898	9
1040859995	16
-1646741502	6
660854835	19
-626359587	8
1862768516	66
191704824	21
297465806	20
-1210146044	23
-9754209	6
-1687153111	9
86466443	10
191390827	8
-1329997330	9
1858854644	263
802494786	9
1892826487	30
14624738	133
831874299	25
-1676768247	24
634773266	128
-1385055019	6
1081854428	6
-187678204	7
1384309782	13
716490085	23
1058898070	8
-755012915	91
-435512658	39
-1275334764	63
-1707401108	255
938972749	11
-739981858	7
-319392239	9
821339176	20
-556843270	7
-2001331420	26
348678386	19
966974346	85
-519491295	7
1808449007	11
-648570673	13
-460648098	23
-498646790	6
-1892425913	28
521919998	9
499096634	26
-1946025613	25
-1773424321	184
-544429620	8
1363538148	13
-1799242293	6
1737468334	7
-2109044752	14
-1485712677	10
1573412	10
600034022	10
1430183586	14
661794408	148
-523601288	14
-1658152297	12
2666546	32
-1401640864	6
1934989288	7
1167707075	138
-532162276	43
166241172	6
-703694045	19
1848649246	42
-1310764321	8
-378746794	18
50004498	1366
475643548	84
478403253	72
14481658	6
