#fingerprint	count
-995007121	6
-480263886	29
168287986	827
-54341490	26
41395254	8
-1871302939	9
-570100453	637
836849056	7
-1042217697	8
-132626062	19
-1043291664	12
-1221597264	6
-1896384291	8
1248419902	9
-885951095	24
1422096727	13
-897577071	88
-413348954	13
-882421488	33
1821007967	206
128796234	11
-821923053	7
1289018724	900
686761462	6
-238535857	132
-1408099310	18
-1591288012	9
-1884920684	363
4411550	7
711077926	51
-1110729784	27
-319589418	69
-243204895	8
-252118637	8
1298257990	9
-1505605165	12
-991540916	10
-1086217331	17
-931256384	20
-351866868	11
-583181004	23
-978311848	13
1173827677	34
75317044	67
-1912233601	8
-162007442	32
-1815833590	23
1721189552	31
929466644	9
515392694	7
-766117332	47
-1279935357	8
1384174593	7
-321759311	26
-1752575342	1152
770934707	3459
1116483568	151
-368609684	12
472647791	11
1533107960	72
-1251991959	24
-1599669394	36
497160382	629
-1948337692	16093
1205927655	33
2139406634	30
-1910420501	23
1363386189	24
-1057399148	11
-615858653	6
2020886639	11
-971390223	7
-649383150	141
291324449	128
794882024	6
233567484	13
2040189296	6
-1516358285	9
1090424347	9
-2135003849	143
-257353432	8
-96168965	11
-1545789603	10
709476803	8
-1496028180	312247
-1623996321	394
-907893168	21
-987244755	7
1415997133	6
2116088422	53
2087432705	47
-2061038722	10
32845197	50
-2028074466	95
982274920	30
500882820	9
-1128696114	11
56835340	15
-2074156503	9
-1470986839	13
-882685791	11
-1468926839	14
618469627	48
1696828777	6429
-1270191233	1137
-1670969321	6
505195329	11
276925435	62
609841698	8
1667832376	191
556778354	565
1968513418	27
-1793188005	7
-57207354	7
-717456487	8
-1069464987	18
244845109	8
706515017	6
1247325883	15
68278168	10
-1972526583	52
93452478	100
1982592422	32
-912194392	10
1597513923	7
-868717651	96
1241781517	9
-841081595	48
-1552116636	16
673716680	9
1765964475	6
-1615978039	84
1458026959	6
-1746464735	8
866829633	12
-1939776935	6
1804401866	10
-741945670	8
-1399122559	34
-1198087211	153
1572892250	7
-2021292914	10
-1094170353	7
-47151175	199
-1353603954	1073
1091588054	8
-672737353	11
-1821826125	67
-1632399889	9
-1684042607	9
-1550222282	7
1395095050	8
426019203	8
1368803353	10
-760042917	47
1658032647	13
1650897284	6
992089705	30
158585253	10
-1915715593	389
155455519	10
588107118	8
973011048	13
-1244774620	12
510017983	9
234100036	8
1230355996	30
-823291241	24
-623838996	21
882382767	83
1965643656	21
-2052722908	14
-79044134	21
449005107	12
-1177421175	12
-819958439	7
-1761286768	11
422021350	10
454416108	432
653317785	110
-1150896526	29
-958350210	8
-2072012363	9
1598883459	6
-2043152321	7
801729720	8
-1952202667	6
445036709	103
-68474543	170
-1872878311	28
-976441044	7
-1313018103	6
1791019499	17
1301071837	17
-440892749	13
1737119503	10
-522042309	7
1947775359	16
-246210357	48
1701708146	7
-545919466	7
-350310026	12
-164699565	21
1452961425	8
1362910805	8
-760377742	51
-653466091	25
-1896700533	10
-337995126	9
487955436	43
-449225056	56
716529606	19
-1241579178	12
1973609896	11
92773450	10
-1728822473	10
24539731	11
1052577317	11
-627011861	18
1820490577	15
177284115	26
-1590554443	10
399460299	542
-909788397	6
1498816517	10
1561865161	12
462390701	6
2068682283	24
2073290526	8
822028275	163
-1687897015	9
-1448213832	6
1036743552	17
410039831	21
2074543696	17
-1965036888	135
-1774600566	10
-1358547905	30
-688574346	11
-1751448961	11
-292928066	10
-1543369331	10
-1960810693	2016
-53587721	9
-227749463	60
842405949	22
994309295	305
-183145607	9
-2030589961	8
-258454349	14
-886377567	8
1194069041	8
165721737	35
626210404	21
262298959	9
-1509815092	9
745727263	6
-1014241158	9
1140448317	10
-721894297	22
-1299162300	18
841720176	12
-1903086661	39
-909244400	12
-1903667463	12
1854630777	11
-1347935483	9
1654687576	8
882328607	19
-389796628	7
-1423775642	9
-1491267570	323
-562984778	42
2006653263	37
-988870312	10
1404268029	11
1687684478	15
-1258731100	10
1416499491	19
-589181529	535
1320087960	10
420732521	6
1465917930	6
1050849923	25
896928004	47
-93653715	10
-1841604179	121
-508580364	8
1803946932	70
-2105673977	13
1202891465	6
-397078327	8
-746711401	244
1114313421	35
-811928396	17
509484747	10
-256656018	9
295730389	9
-1077855040	8396
-339806748	26
1357118162	8
-2121589319	30
-1620952548	8
-766090944	26
-1170544351	29
329046590	10
-149405730	9
894433118	9
-236010627	54
654752506	14
-964181886	215
443600770	24
462872510	13
-603941353	6
839781311	29
715318510	12
-293219168	550
-1867569584	9
1841649427	21
722547040	8
12448222	8
2139707711	7
150451642	9
1038777250	15
2048502224	4137
-1897600651	56
528180276	7
-457291295	13
1275739776	14
-869244405	102
1207830179	9
-451499725	6
-1157400463	6
813808599	54
-58433326	11
-1304782988	7
-966731521	88
-681656828	8
-1382212016	6
230179628	241
721914262	23
1438777720	6
-772084898	12
-10118310	12
-518804540	24
841886248	23
-1064652501	21
-1449029765	12
292232402	15
-1238098959	7
-1719809183	6
1373966992	7
179175730	42
-97449006	66
1662430867	7
-197510339	8
110573860	18
-796912873	15
45591673	152
-19560469	30
1288598524	383
-116371593	10
727769582	343
-1165035421	9
1910598180	10
776274453	6
349227341	210
-1612756854	52
-259999925	23
-1090899370	41
-1293256915	10
698873522	10
-1220430818	43
1403630951	8
-342324388	10
-1241535073	21
1255002492	28
-154109887	44
-858487366	157
1887909674	10
1460491421	11
-1648602015	27
-942820966	11
1638937684	36
-1670119734	8
-787657486	151
-691167040	10
-926038536	11
1277345788	12
-2029495009	6
1711791899	6
-1292747288	82
-54085488	98
299433458	325
-447622375	8
-724248913	25
397512939	63
1578118743	9
683699007	7
262423651	11
-1708864264	7
-2127414053	19
-1305960155	120
-1339053441	7
-1575966901	8
-8808790	75
-1287006251	8
-1908447016	32
1417531389	10
-1579352765	9
-481758338	12
-946206615	8
-21901040	7
-235577163	13
1048325499	9
-143683215	18
1357233604	9
-1518090524	9
-1861856027	23
1018311008	14
-1505695673	7
1408944405	11
449251119	6
1250320261	25
2061134272	129
778100533	92
-725402371	7
413615904	14
1391887928	9
1150082807	10
-1989798762	6
-1187115141	71
1333847868	41
472591854	17
-1465128503	9
1836773412	20
-915663090	10
655184066	6
-640214252	9
294283494	26
-639490682	25
1173686837	12
1990720201	24
609265515	8
-1455297053	7
-194063227	10
2050203621	36
1723653060	13
-354506405	19
-1164313471	19
1964633953	6
-1195298868	246
1086810411	31
-1060185631	8
52211662	12
-2025869095	10
951869878	17
644379826	109
-913892558	17
774515436	40
1938054423	48
-62530390	8
-2008200180	11
-1378158773	7
-512279644	8
-1135152490	33
-20864221	11
1013041128	8
-271625847	300
-199586787	6
2033672233	27
1535464749	12
-581494485	8
852485241	9
-497533919	55
-1439030202	10
-1761805326	10
-2012152738	8
-1653945797	19
-1005377147	33
-2135758658	21
-2029630518	14
-540277691	8
-2099142061	205
-1658669703	16
-1114718694	15
-441097494	6
2122313107	15
737959971	8
1506580163	15
-849867264	35
1961460927	12
685923057	11
1558040413	9
-364103471	12
-1257991267	76
395622794	6
1867688811	9
1974125222	30
-79486874	25
767368135	9
-211747026	7
47142133	7
1781910145	6
-1983777477	80
645241034	8
-246659114	106
-1354512742	85
1398340702	6
12751727	9
1190116469	95
1869721478	8
-177354700	7
105869767	12
1186987461	9
-1401526881	60
-798983512	10
901890964	11
-1116021146	118
451559904	13
871466863	21
1371828343	110
1245692619	8
