#fingerprint	count
1298238881	6
-1606988657	67
1189260217	10
-833140743	6
-1921291017	15
1161564148	7
325809353	12
836849056	7
973887275	9
-1264924172	13
-2105912158	1215
-1237048893	10
-796952924	23
1616915351	178
461195701	37
1168152430	16
-1016540064	44
-2136180019	8
2091655399	46
1821007967	217
224590937	174
1219182902	72
1662350221	25
1747077118	127
-1026840314	6
-2081042875	10
-203364052	7
1985167115	10
-1011818872	6
711077926	37
-1110729784	41
-319589418	89
1671247944	9
1560544360	194
1298257990	9
765248959	811
-1923174651	24
-1964998907	23
1058691890	8
2088309737	9
1108814691	8
-1110315078	10
-1805494368	9
1897845829	19
1741516941	16
1719312152	25
-1493175980	26
-393030809	64
697438500	6
915213367	18
1905557614	60
1561638697	26
1571235468	14
1100270446	61
-1752575342	28
770934707	1130
94955884	9
-556999779	6
-1917837729	11
1533107960	288
-780575852	125
-1410970915	44
497160382	130
1286454191	25
1950552067	19
-1149283092	7
-680699645	7
-1567044270	98
84340056	16
2118164578	144
1814365803	377
1268818332	61
-1510882792	9
-1862986008	31
794882024	6
-631596734	26
1005657335	80
-1642763912	46
-856603879	97
1537618152	9
-257353432	6
87711836	12
-1868345315	12
1871372824	6
-1496028180	137416
-942676936	11
-1612120943	181
-1997738751	5
1451366232	23
709532817	6
361897907	21
-1290510245	9
1948749628	95
-330517239	58
-426397487	22
500882820	106
-786139286	14
-42459993	1347
1707629167	23
-318875646	42
-882685791	11
-1468926839	12
-351778628	9
1696828777	2005
1531565453	50
902896140	17
1237468421	9
1325131636	40
1704459752	8
1886365072	7
2036597949	20
650242822	18
348641995	45
73337440	5
-1163050941	10
-1086094106	11
566384145	9
1828361019	18
1484434008	37
68278168	7
-990383567	12
-534997699	9
377337914	26
-1847028875	14
-669278300	6
-868717651	10
1241781517	7
-727290647	361
264457603	9
-123861316	7
-2102228830	12
-1615978039	100
1775946525	30
1642444797	51
197902102	23
-1767623818	7
-1572996841	10
-741945670	8
-728424984	7
-1198087211	34
939349421	9
-462865784	1102
-941113831	15
-47151175	44
891047327	298
1639175851	35
-1834614266	185
673219520	29
-1632399889	9
-2043642729	9
-1176314613	12
1395095050	8
1384412552	8
-2016008253	6
-760042917	9
322391359	6
842232878	13
992089705	11
577300562	21
-1915715593	488
549428040	10
-939774062	15
518399882	18
-1244774620	10
-1168185449	17
-1283793091	102
1230355996	7
1514520804	8
1709959448	7
1752177877	10
-2050944640	108
-606695134	24
724360281	10
-289052607	7
627639803	9
759273249	23
-1761286768	8
-235094486	82
441297166	75
2047184967	6
-903957892	36
695525096	57
-265675289	11
509416525	12
1042527536	16
-1266733166	8
-667907507	10
446553640	42
848118494	18
-1872878311	9
375264442	81
